zip_code	MSA_number	MSA_name
68456	30700	Lincoln, NE MSA
68457	99027	NE NONMETROPOLITAN AREA
68458	99027	NE NONMETROPOLITAN AREA
68460	99027	NE NONMETROPOLITAN AREA
68461	30700	Lincoln, NE MSA
68462	30700	Lincoln, NE MSA
68463	36540	Omaha-Council Bluffs, NE-IA MSA
68464	99027	NE NONMETROPOLITAN AREA
68465	99027	NE NONMETROPOLITAN AREA
68466	99027	NE NONMETROPOLITAN AREA
68467	99027	NE NONMETROPOLITAN AREA
68501	30700	Lincoln, NE MSA
68502	30700	Lincoln, NE MSA
68503	30700	Lincoln, NE MSA
68504	30700	Lincoln, NE MSA
68505	30700	Lincoln, NE MSA
68506	30700	Lincoln, NE MSA
68507	30700	Lincoln, NE MSA
68508	30700	Lincoln, NE MSA
68509	30700	Lincoln, NE MSA
68510	30700	Lincoln, NE MSA
68512	30700	Lincoln, NE MSA
68514	30700	Lincoln, NE MSA
68516	30700	Lincoln, NE MSA
68517	30700	Lincoln, NE MSA
68520	30700	Lincoln, NE MSA
68521	30700	Lincoln, NE MSA
68522	30700	Lincoln, NE MSA
68523	30700	Lincoln, NE MSA
68524	30700	Lincoln, NE MSA
68526	30700	Lincoln, NE MSA
68527	30700	Lincoln, NE MSA
68528	30700	Lincoln, NE MSA
68529	30700	Lincoln, NE MSA
68531	30700	Lincoln, NE MSA
68532	30700	Lincoln, NE MSA
68542	30700	Lincoln, NE MSA
68544	30700	Lincoln, NE MSA
68572	30700	Lincoln, NE MSA
68583	30700	Lincoln, NE MSA
68588	30700	Lincoln, NE MSA
68601	99027	NE NONMETROPOLITAN AREA
68602	99027	NE NONMETROPOLITAN AREA
68620	99027	NE NONMETROPOLITAN AREA
68621	99027	NE NONMETROPOLITAN AREA
68622	99027	NE NONMETROPOLITAN AREA
68623	99027	NE NONMETROPOLITAN AREA
68624	99027	NE NONMETROPOLITAN AREA
68626	99027	NE NONMETROPOLITAN AREA
68627	99027	NE NONMETROPOLITAN AREA
68628	99027	NE NONMETROPOLITAN AREA
